naziv,lokacija,placa_bruto,placa_neto,placa_po_dogovoru,prosta_mesta,trajanje,id,delovnik
POMOČ V TRGOVINI, ŠKOFJA LOKA,8.00  ,6.88  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),432203,IZMENSKO
BLAGAJNIK, ŠKOFJA LOKA,9.00  ,7.74  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),432202,IZMENSKO
POMOČ PRI PRODAJI," LJUBLJANA,ČRNUČE",8.00  ,6.88  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),432252,IZMENSKO
DELO V KUHINJI, ROGAŠKA SLATINA,7.21  ,6.20  ,False,1,POČITNIŠKO DELO,432251,IZMENSKO
PRODAJA, LJUBLJANA,9.00  ,7.74  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),432350,IZMENSKO
POMOČ V TRGOVINI, LJUBLJANA ŠIŠKA,8.00  ,6.88  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),432349,IZMENSKO
BLAGAJNIK, KRANJ,9.00  ,7.74  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),432302,IZMENSKO
BLAGAJNIK, LJUBLJANA,9.00  ,7.74  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),432409,IZMENSKO
POMOČ PRI PRODAJI, ŠKOFJA LOKA,8.00  ,6.88  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),432201,IZMENSKO
DELO V SKLADIŠČU, MARIBOR,7.67  ,6.60  ,False,3,POČITNIŠKO DELO,432250,PO DOGOVORU
POMOČ V TRGOVINI, LJUBLJANA,8.00  ,6.88  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),432348,IZMENSKO
POMOČ V TRGOVINI, LJUBLJANA,8.00  ,6.88  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),432301,IZMENSKO
BLAGAJNIK, KOPER,7.69  ,6.62  ,False,2,DLJE ČASA (ZAČ. IN OBČ. DELO),432408,IZMENSKO
POMOČ V TRGOVINI, LJUBLJANA CENTER,8.00  ,6.88  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),432407,IZMENSKO
BLAGAJNIK, ŠKOFJA LOKA,9.00  ,7.74  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),432200,PO DOGOVORU
BLAGAJNIK, LJUBLJANA,9.00  ,7.74  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),432249,IZMENSKO
POMOČ PRI PRODAJI, LJUBLJANA,8.00  ,6.88  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),432248,IZMENSKO
PRODAJA, LJUBLJANA,9.00  ,7.74  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),432347,IZMENSKO
POMOČ V TRGOVINI, LJUBLJANA,8.00  ,6.88  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),432300,IZMENSKO
POMOČ V TRGOVINI, KRANJ,8.00  ,6.88  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),432299,IZMENSKO
DELO V DELAVNICI, JAKOBSKI DOL,8.28  ,7.12  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),432406,DOPOLDAN
POMOČ PRI PRODAJI, MEDVODE,8.00  ,6.88  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),432199,IZMENSKO
STREŽBA HRANE IN PIJAČE, BLEJSKA DOBRAVA,9.30  ,8.00  ,False,2,DLJE ČASA (ZAČ. IN OBČ. DELO),432198,IZMENSKO
POMOČ PRI PRODAJI, ŠEMPETER PRI GORICI,8.05  ,6.93  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),432247,PO DOGOVORU
POMOČ V TRGOVINI, LJUBLJANA,8.00  ,6.88  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),432346,IZMENSKO
POMOČ V TRGOVINI, LJUBLJANA,8.00  ,6.88  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),432345,IZMENSKO
BLAGAJNIK, KRANJ,9.00  ,7.74  ,False,1,DLJE ČASA (ZAČ. IN OBČ. DELO),432298,IZMENSKO
